ax;ay;az;gx;gy;gz;t
2292;-7376;13560;3012;-1208;80;86187
2336;-6844;13360;2391;-1104;549;86273
2692;-6988;13260;1064;-677;638;86358
2772;-7268;13988;629;-660;397;86443
2852;-7088;13760;1487;-327;76;86529
2792;-6388;14028;1469;-293;-77;86614
2988;-5932;13704;1119;-305;273;86699
2912;-5908;13760;272;216;134;86784
2496;-6264;14312;586;248;-93;86870
2804;-5832;14188;1059;-115;-124;86955
2932;-5348;13632;-144;-226;245;87040
3248;-5884;14272;-537;231;112;87124
2744;-5928;14388;339;116;-242;87211
3140;-5552;14392;755;-61;21;87296
3244;-3680;9652;-3618;1117;253;87380
2668;-4012;7840;-22940;4715;1646;87467
1332;-21988;25700;-9415;3786;-2296;87552
544;-11368;9628;7708;-813;-1761;87636
1740;-9432;10644;5095;-1133;801;87721
1860;-9916;11732;3630;-1023;1057;87808
2284;-9496;12668;3180;-850;495;87892
2488;-8336;13032;3151;-339;-46;87977
2580;-7444;13772;3368;-123;-548;88064
2348;-6952;13976;5153;150;-542;88148
2128;-6220;13088;3593;90;-175;88233
2312;-5316;14220;1394;-616;444;88318
2544;-5048;13416;-1505;-190;1021;88404
2780;-5768;15140;-1073;-112;508;88489
2720;-5992;13232;-1613;-562;774;88574
2932;-7240;13864;-1739;109;584;88660
2604;-7044;13804;-731;40;-22;88745
2548;-7120;14180;65;-14;116;88830
2688;-6800;14064;1212;174;64;88915
3520;-9336;27104;20669;206;-946;89001
2268;1804;3312;20412;2359;-1815;89086
2480;1948;14444;1141;445;785;89171
1976;2388;14836;-1133;-614;-89;89257
2444;1496;12524;-10382;-120;337;89342
2688;-1144;17012;-12362;-449;465;89427
2820;-3240;15444;-5469;-563;870;89512
2748;-4720;14084;-3701;499;1171;89598
2584;-5364;14428;-3601;298;544;89683
2664;-6460;15068;-1578;-76;178;89768
2488;-5612;13964;-711;-21;371;89853
2484;-5648;14244;-622;29;430;89939
2644;-5744;14324;-508;50;171;90024
2424;-5780;13988;-926;71;63;90109
2448;-6104;14004;-1571;-64;475;90195
2692;-6516;14052;-876;61;331;90280
2792;-6660;13804;-609;187;-14;90365
2396;-6600;13816;-234;250;-101;90450
2544;-6716;14060;74;194;-40;90536
2700;-6468;13720;52;107;22;90621
2384;-6560;14144;-78;525;-573;90706
2164;-6472;13964;169;43;-70;90792
2500;-6512;14004;397;-17;320;90877
2424;-6564;14116;321;259;-243;90962
2360;-6184;14192;416;312;-363;91047
3192;-12132;24940;23493;-75;-1597;91133
2444;936;5788;20647;499;-2229;91218
2552;4076;13044;-1012;364;-88;91303
2136;2288;15380;-1762;-99;56;91389
2484;1736;13728;-4558;-100;-295;91474
2340;1092;14248;-9379;-283;400;91559
2876;-1388;16396;-9869;-122;1625;91644
3032;-4512;14128;-7235;696;1470;91730
2464;-6132;14552;-5976;626;48;91815
2324;-6640;15104;-2244;-22;-47;91900
2448;-5860;14212;-525;-248;717;91986
2640;-6260;14140;-1165;-39;716;92071
2532;-6480;14184;-959;-48;255;92156
2540;-6468;14100;-494;-75;220;92241
2584;-6388;13720;-766;-99;304;92327
2632;-6608;13672;-1043;8;169;92412
2612;-6892;13808;-1104;293;-54;92497
2560;-7296;13736;-865;452;-191;92582
2396;-7400;13704;7;618;-504;92668
2036;-7264;13752;330;786;-797;92753
2352;-6508;14052;571;50;-175;92838
2428;-6488;13940;761;5;544;92924
2544;-6480;14036;221;204;429;93009
2516;-6960;13456;-1073;425;-274;93094
2228;-7320;14164;-481;444;-494;93179
2196;-6992;13816;-107;63;-133;93265
2736;-7256;17676;3999;504;-364;93350
2092;-9488;11512;32767;-426;-1731;93435
1992;3988;11584;800;1331;307;93521
2016;1016;13336;-5604;1329;226;93606
2120;-1140;14912;-12354;83;-1407;93691
2084;-3504;16672;-10266;663;-2028;93776
1464;-4912;15428;-4878;298;-825;93862
1912;-6236;14480;-2469;235;322;93947
1788;-6880;14140;-1488;185;257;94032
1820;-7052;14612;-975;-130;157;94118
1844;-6560;14292;327;-60;269;94203
1836;-5976;13780;466;289;-145;94288
1524;-5936;14212;285;280;-231;94373
1772;-6068;13912;-92;-142;198;94459
1936;-6308;14144;31;-186;602;94544
1968;-6516;14312;448;54;144;94629
1820;-9576;24404;22002;-154;288;94715
2180;1372;7424;14905;261;-43;94800
2536;1876;12740;-4932;-379;-1358;94885
2100;448;15480;-11917;-371;-1637;94970
2112;-2240;14848;-7777;823;-1409;95056
2032;-4308;15736;-6577;465;-107;95141
2096;-5624;15160;-3252;194;891;95226
2052;-6524;14220;-2365;312;397;95311
1856;-6352;14392;-1117;30;22;95397
2160;-6100;14420;-456;107;286;95482
1796;-5792;14160;-184;528;114;95567
1644;-5684;14064;-407;135;-54;95653
1944;-6300;14116;-720;-139;278;95738
2096;-6720;14312;-589;86;-55;95823
1928;-6456;14068;45;331;-241;95908
1612;-5980;14212;506;340;-39;95994
1748;-6080;14216;557;121;389;96079
1608;-6180;14408;242;92;326;96164
1864;-5996;14184;400;25;208;96250
2132;-10224;23936;18970;1099;1609;96335
1516;-1860;9460;23078;-847;2465;96420
2612;3952;11912;1702;228;-786;96505
1480;2760;13156;-5007;1077;-1657;96591
1084;1480;15736;-8913;2164;-1520;96676
568;8;16308;-6096;1260;-669;96761
896;-1272;15724;-4055;810;-263;96847
640;-2760;14464;-4856;482;-391;96932
552;-4332;14724;-5252;-11;-646;97017
488;-4968;15616;-2903;-196;-117;97102
748;-5188;15120;-855;-176;382;97188
600;-4792;14324;-519;-451;516;97273
952;-5168;14468;-742;-234;493;97358
1024;-5204;14544;-976;-275;437;97444
972;-5412;14712;-460;-109;42;97529
1040;-4972;14632;-105;-481;805;97614
1332;-5632;14264;361;-141;644;97699
1180;-5512;14556;866;-35;25;97785
1292;-4476;14164;367;-139;-299;97870
1844;-3876;11884;-5017;702;-380;97955
1836;-5988;9760;-18388;2752;-738;98040
-884;-13824;16796;-12913;3655;-829;98126
-1376;-12220;14760;4435;-257;-578;98211
804;-8628;10160;4209;-2254;527;98296
1124;-10300;11368;1185;-1453;1106;98382
664;-10112;12828;3140;-1892;823;98467
1096;-8832;12844;4309;-1884;1232;98552
1508;-7728;13692;3715;-1354;1195;98637
1548;-6716;13320;3026;-872;801;98723
1460;-6428;13324;1371;-946;794;98808
1996;-6736;13632;-242;-665;760;98893
1928;-7100;13948;178;-464;280;98979
1960;-6756;14236;892;-374;385;99064
2196;-6508;14072;1532;-175;82;99149
2020;-6272;13828;1765;-20;-24;99234
2068;-5776;14232;1540;-47;-29;99320
2228;-5500;14776;1961;87;-9;99405
2312;-4516;13940;1550;180;-49;99490
2960;-3828;8928;-8364;2197;-292;99576
960;-6752;11312;-20920;5028;195;99661
-584;-16304;19336;-839;736;-583;99746
420;-10260;11688;5322;-1299;-199;99831
1160;-9160;12080;4223;-1638;400;99917
1416;-8740;12828;4235;-1359;709;100002
1588;-8052;13068;3812;-1252;443;100088
1832;-7200;13884;2467;-718;305;100175
1696;-6540;13828;3013;-1116;325;100261
2216;-5920;13756;1926;-886;723;100347
2412;-5940;13632;462;-239;278;100433
2216;-6060;14268;347;-87;-168;100520
2268;-5744;14144;368;81;-66;100606
2392;-5788;14260;530;450;-118;100692
2212;-5548;14140;597;537;-482;100780
1960;-5532;14624;-64;250;-389;100866
2024;-5760;14592;656;-84;278;100952
2508;-5664;14644;2139;114;-148;101039
2156;-4652;13584;879;54;-733;101125
1864;-3012;8864;-11505;1914;488;101211
1628;-9912;14292;-20065;4469;2938;101297
592;-13452;14088;7477;-147;-3361;101384
836;-7224;12060;5349;-1425;-1134;101470
1672;-7500;13232;4103;-1199;540;101556
1840;-7548;13700;2698;-192;352;101643
1500;-6776;13512;1621;-194;147;101729
1900;-6172;14596;1015;-773;576;101815
2176;-5920;13768;1733;-944;535;101901
2068;-5812;13756;710;-591;489;101988
2376;-5928;14344;135;-546;496;102074
2480;-5932;14108;229;-497;470;102160
2664;-5800;14312;87;-131;209;102247
2468;-5708;14080;-450;19;212;102333
2680;-6128;14136;-343;212;75;102419
2480;-6180;14208;284;294;-463;102506
2240;-5696;14524;253;152;-367;102592
2352;-5768;14128;460;-62;298;102678
2548;-5644;14320;364;-109;21;102764
2508;-5516;14288;-73;-200;218;102851
2760;-5604;14068;6;-3;218;102937
2640;-5684;14652;1079;-51;125;103023
2684;-5272;13880;838;219;341;103110
2316;-3632;10228;-5857;879;758;103196
1912;-4972;9580;-23474;4110;4175;103282
812;-22500;22800;529;1753;-2267;103369
984;-8512;10160;7370;-322;-2130;103455
1452;-8076;11468;4022;-418;-409;103541
1844;-9124;12700;2263;-431;-219;103627
1684;-8520;13308;2151;-588;-615;103714
2068;-7444;13236;2648;-815;-166;103800
2260;-7120;13604;1400;-778;243;103886
2352;-6976;13272;955;-757;614;103973
2560;-7056;13316;294;-409;535;104059
2540;-7724;14408;879;-587;-24;104145
2644;-7324;14044;3227;-534;-190;104232
2908;-5820;13600;3150;248;-538;104318
2648;-4972;13944;1033;223;236;104404
2764;-5368;14160;117;213;227;104491
2732;-5256;14412;-383;303;23;104578
2680;-5188;14076;-958;-125;411;104664
2760;-6152;14628;-454;226;253;104750
2600;-6056;14012;-807;376;52;104837
2568;-6120;14028;-1102;358;72;104923
2496;-6516;14152;-155;467;-166;105009
2292;-6176;14160;127;78;-240;105095
2772;-6000;14292;101;-370;426;105182
3696;-8688;26908;13260;-35;127;105268
2096;-2288;5164;23362;1202;-601;105354
2308;3688;12812;-1438;69;1208;105441
2600;1472;15840;-7768;19;318;105527
2708;-1440;14696;-9274;-814;-961;105613
3140;-3636;16572;-6979;-1457;-1207;105700
3292;-4088;14132;-3287;-1079;-16;105786
3436;-5160;14460;-3813;100;781;105872
3036;-5940;14732;-1737;371;455;105958
3156;-5728;14524;-471;-127;382;106045
3224;-5248;14284;-135;-15;533;106131
3496;-5696;14064;-704;345;172;106217
3232;-5828;14272;-266;698;-412;106304
3112;-5580;14224;21;758;-185;106390
2964;-5824;14488;775;712;-540;106476
2784;-5376;14364;739;667;-557;106563
2684;-5032;14604;1411;340;171;106649
2952;-4852;14424;1662;203;142;106735
2848;-4332;14500;1157;231;171;106821
2708;-4504;14900;1091;372;300;106908
2600;-4304;14828;1015;457;134;106994
2580;-3732;14572;641;247;31;107080
2532;-3564;14856;798;119;196;107167
2576;-3428;14336;-358;376;97;107253
2444;-3724;14860;-832;383;-122;107339
2336;-4328;14800;-383;171;-53;107425
2440;-4332;14816;68;154;38;107512
2596;-6080;27716;17262;-93;227;107598
2464;1120;5100;18104;717;-253;107684
2832;4052;12660;-3406;311;703;107771
2388;2380;17468;-6832;63;-618;107857
2184;656;14596;-4098;111;-1214;107943
2248;-164;14964;-4405;-176;-130;108030
2512;-1048;16204;-2537;-493;860;108116
2792;-2212;14804;-1633;20;890;108203
2608;-2588;15396;-1591;338;33;108289
2088;-1888;15736;-717;5;593;108376
2712;-2000;14788;-598;-21;925;108462
2596;-2216;14424;-2237;84;499;108548
2708;-2980;15284;-1339;230;352;108635
2580;-3236;14712;-1018;218;-3;108721
2244;-3416;15032;-1868;141;-415;108807
2720;-3680;14260;-3358;382;-512;108894
2352;-4396;15092;-1579;205;-208;108980
2352;-4328;14512;-1035;360;-55;109066
2456;-4184;13992;-1789;563;425;109152
2696;-5348;14604;-1000;625;287;109239
1900;-5088;14816;-537;221;-71;109325
2156;-5316;14740;-285;62;87;109411
2120;-5000;14556;-62;-32;30;109498
2420;-5136;14452;-322;4;33;109584
2368;-4904;14324;-551;285;-24;109670
1692;-2424;7492;-12301;554;2312;109757
3020;-14772;18912;-17318;2945;3992;109843
976;-11156;12340;6683;-403;-1757;109929
880;-7496;12404;4595;-128;-726;110015
1316;-7976;13360;2882;-934;179;110102
1700;-7884;13892;3049;-771;-120;110188
1796;-6652;13836;3151;-1276;51;110274
2340;-6076;13680;2160;-1257;779;110361
2864;-6060;13808;1435;-644;527;110447
2748;-5848;13816;681;-346;-100;110533
2576;-6184;14216;304;-124;85;110619
2772;-6020;14220;685;62;-629;110706
2320;-4788;14768;823;-650;-175;110792
3072;-5260;13692;-271;-283;874;110878
3080;-5272;14088;-890;115;244;110965
2872;-5752;14436;-1428;245;600;111051
2632;-6492;14488;-398;213;611;111137
2660;-6064;14208;10;171;227;111224
2624;-6048;14020;91;286;198;111310
2572;-6160;13988;13;361;20;111396
2520;-5828;14060;-312;380;-126;111482
2288;-5856;14204;340;126;-8;111569
2620;-5824;14084;-91;22;179;111655
2592;-6032;14000;-571;33;176;111741
2612;-6164;14256;-276;2;65;111828
2536;-6164;14272;89;159;28;111915
2544;-6048;14036;183;154;0;112001
2380;-5940;14396;369;-28;102;112088
2712;-5700;14020;596;-36;235;112174
2780;-5588;13988;-415;15;-120;112260
2668;-5872;14504;-432;5;184;112346
2412;-5844;13980;-572;-8;98;112433
2828;-5484;13540;-1563;165;43;112519
2348;-4356;8444;-13161;1715;1032;112605
2316;-13384;15692;-19297;3831;2141;112692
868;-13412;12652;6731;-558;-2051;112778
1572;-8668;10612;3887;-1369;-47;112864
1996;-9588;12444;2519;-1152;695;112950
2020;-9472;12888;2305;-1718;394;113037
2712;-8396;13472;3037;-2149;828;113123
3128;-7748;13028;3381;-2029;1338;113209
3684;-7416;12828;2845;-1175;758;113296
3304;-6924;13248;1973;-721;344;113382
3832;-6932;13020;1133;-280;456;113468
3288;-6832;13672;184;443;-849;113555
3120;-6216;14100;774;508;-259;113641
3380;-6016;13740;507;428;588;113727
3812;-7156;13484;-659;667;9;113813
3288;-6832;14184;949;840;-922;113900
3076;-5936;14128;1337;1420;-431;113986
2720;-5528;14028;849;1070;-310;114072
2496;-5608;14052;283;1028;-80;114159
2324;-5840;14348;-443;1137;-342;114245
2088;-5544;14092;-438;420;54;114331
804;-3312;9600;-7314;-1611;2458;114418
4808;-13988;17380;-17777;2653;3829;114504
780;-10912;12696;5514;274;-3289;114590
1712;-7740;12712;3849;-559;-561;114676
2240;-8796;12556;4795;220;430;114763
2108;-7708;13208;4056;514;60;114849
1940;-6648;13456;2906;202;-231;114935
2040;-5928;14420;1882;-81;-151;115022
2208;-5376;14108;1265;-350;67;115108
2216;-5444;13704;-62;-129;210;115194
2380;-6032;14748;-697;230;76;115281
2188;-6056;14420;-24;123;-270;115367
2080;-5632;14272;23;71;114;115453
2240;-5944;14020;73;-38;358;115539
2216;-5960;14256;618;147;-77;115627
2268;-5356;13780;764;280;-105;115713
2132;-3448;9144;-9795;1019;123;115799
1784;-11072;14860;-19522;4529;1564;115886
416;-13300;14712;5731;38;-1610;115972
900;-8140;11768;4535;-506;-505;116058
1540;-8352;12336;2282;-518;722;116144
1480;-8652;13416;2043;-515;550;116231
1468;-7984;13836;2139;-725;152;116317
1780;-7240;13840;2910;-849;451;116403
2120;-7256;13932;4278;-748;219;116490
2076;-5644;13156;2620;-504;36;116576
2320;-4908;14144;319;93;-495;116662
1800;-5444;14324;-455;-137;-1439;116749
2320;-5952;15288;356;-176;-582;116835
2552;-10372;15052;32767;-965;-1824;116921
2440;4012;9984;-86;-165;550;117007
2532;-12;14844;-5267;409;-14;117094
2524;-1032;15236;-3791;86;-705;117180
2280;-1108;15816;-2139;513;-637;117266
2184;-1276;15028;-2222;612;-62;117353
2168;-1948;14520;-1375;637;442;117439
2372;-2588;13956;-4917;1009;-444;117525
2040;-3780;15160;-5885;939;-1300;117612
1960;-4508;15296;-4490;924;-1347;117698
1536;-4928;14756;-123;769;-471;117784
1584;-5076;14428;-555;52;210;117870
1516;-5508;14564;-594;108;88;117957
1472;-5260;14728;-97;91;-83;118043
1760;-5016;14604;6;-68;158;118129
1668;-4976;14636;186;75;63;118216
1936;-4932;14096;-486;49;243;118302
1712;-5600;14884;169;240;-323;118388
1576;-5144;14880;1284;-336;315;118474
1820;-4916;14948;1985;-250;396;118561
2100;-5480;22980;12177;-480;-233;118647
1808;136;5472;16877;407;43;118733
2248;2072;12832;-5090;334;543;118820
1716;-436;14912;-12025;463;-1105;118906
1840;-2792;16908;-7591;494;-1608;118992
1456;-3704;15712;-2631;131;-502;119079
1752;-4156;14788;-232;-112;582;119165
2076;-4244;14216;-604;-57;435;119251
1652;-4676;14856;-108;-20;102;119337
1972;-4264;14984;423;-51;239;119425
1864;-3572;15040;378;187;28;119511
1876;-3760;14624;-254;272;-29;119597
1592;-3896;14772;-690;378;-351;119684
1676;-4140;14808;-768;-107;427;119770
2296;-2944;26188;7812;1314;517;119856
120;-1728;8392;26276;289;231;119943
2040;4672;12540;-1313;293;1237;120029
1760;1976;14016;-7891;133;-1984;120115
1400;708;14940;-11189;443;-4453;120201
1060;-2032;16344;-7059;954;-4482;120288
888;-2212;15572;-3995;940;-1919;120374
1080;-3764;14580;-3554;975;-178;120460
1148;-5016;14744;-3754;625;-878;120547
712;-5260;14724;-2654;592;-198;120633
456;-5232;14988;-914;418;272;120719
808;-5084;14424;-813;40;711;120806
808;-5448;14472;-1020;-94;280;120892
728;-5736;14272;-1147;-68;484;120978
1024;-6240;14512;-393;-189;720;121064
768;-5852;14428;402;-243;462;121151
700;-5656;14404;341;-42;533;121237
720;-5144;16308;692;104;184;121323
48;-8936;14176;32767;-1123;2547;121410
1952;3596;9188;5887;-2805;1848;121496
1348;2844;14832;-3670;-523;174;121582
1276;1764;13684;-8050;-319;878;121668
988;-880;13880;-15494;1063;1784;121755
1828;-4116;18760;-8008;18;611;121841
1328;-4732;14524;-2376;-339;-589;121927
1504;-5280;13876;-3718;-224;-163;122014
1344;-5948;15000;-2460;-211;-160;122100
1508;-5912;14376;-918;-81;463;122186
1416;-6196;14452;-194;-117;418;122273
1328;-6056;14316;294;-305;516;122359
1880;-5932;14252;278;-315;545;122445
2252;-6040;19276;4857;-29;-80;122531
1592;-6372;12024;31477;-1088;-714;122618
1244;3524;11856;1283;335;565;122704
1240;2572;14004;-3572;-427;2935;122790
2196;572;15788;-1919;-1132;3080;122877
2144;376;14560;-2809;-826;2431;122963
2932;-668;15720;-8086;-1059;2780;123049
2988;-2436;14648;-4778;-957;1768;123137
3148;-3588;15388;-6236;-145;1635;123223
2856;-5012;15332;-2178;282;223;123309
2492;-4664;14884;-1996;-3;170;123395
2452;-4384;14412;-661;94;563;123482
2644;-4564;14388;-1535;-126;725;123568
3052;-5532;14544;-2128;-45;318;123654
2976;-5752;14420;-918;9;51;123741
2572;-5712;14568;88;43;126;123827
2760;-5160;14520;647;69;312;123913
2792;-5148;14120;-225;224;285;123999
2640;-5608;14616;-95;260;1;124086
2740;-5536;14152;-251;127;-116;124172
2664;-5232;14256;-461;256;53;124258
2684;-3952;10876;-3779;920;181;124345
2356;-6240;8460;-21729;3451;3450;124431
1136;-17452;21148;-2228;1862;-2426;124517
784;-8580;11124;5206;-722;-127;124604
1620;-9284;11660;4235;-177;1163;124690
1876;-9096;12668;4364;-664;770;124776
1720;-8196;13416;3439;-102;111;124862
1768;-7628;14060;5220;-195;-106;124949
1920;-5656;13408;3795;-335;-325;125035
1716;-5196;13900;1559;-330;-144;125121
2184;-5744;14236;1351;-120;165;125208
2152;-5464;14440;3191;-158;-87;125294
2112;-4184;13932;497;-282;263;125380
2268;-4504;14668;-547;-223;568;125467
2320;-4772;14404;-116;105;150;125553
2116;-4972;14400;5;123;142;125639
2172;-4956;14704;-163;-56;222;125725
1948;-4768;14652;306;-81;136;125812
2380;-3640;14240;-654;-439;292;125898
2380;-2800;9076;-12145;349;906;125984
2464;-10804;12716;-23333;2790;2281;126071
1240;-15472;14252;4208;995;-694;126157
1048;-9268;11660;4399;-558;-661;126243
1528;-8976;11904;4038;-577;768;126330
1884;-9152;13860;4332;-383;639;126416
1960;-7780;13576;5212;-409;-285;126502
2068;-6144;13724;3720;-367;-667;126588
2216;-5516;14004;2567;171;-430;126675
1980;-5556;13752;1592;41;-436;126761
1932;-5616;14564;1259;-240;-526;126848
2448;-5568;14236;1251;-252;-323;126935
2448;-4712;14604;1345;393;-773;127021
2184;-4392;14488;1431;430;-671;127107
2248;-4040;14560;1369;454;-331;127193
1892;-3916;14632;1445;80;-129;127280
2172;-3748;14748;479;235;63;127366
2152;-3388;15024;564;626;338;127452
2308;-3760;14600;-47;399;-242;127539
1888;-3460;14852;3;190;-364;127625
2016;-3356;15116;100;193;604;127711
1956;-3436;14620;-803;383;1135;127798
1968;-3880;14652;-820;394;1007;127884
1712;-4360;14672;-946;542;329;127970
1656;-4532;14732;-422;298;23;128056
1480;-4000;14728;-330;22;588;128143
1784;-4424;14876;179;145;609;128229
1588;-4060;14872;112;493;-320;128315
1460;-4164;14496;1;365;-117;128402
1316;-4544;14624;388;395;-308;128488
1480;-4272;14616;247;613;-661;128574
1424;-2964;15368;1321;351;-377;128661
1632;-3380;14332;745;166;245;128747
1572;-3808;14132;-198;557;-197;128833
1116;-4208;15192;-1175;729;-437;128919
1076;-4100;15324;-182;434;-212;129006
1164;-3608;14868;97;243;-28;129092
1020;-3436;14920;350;293;348;129178
